name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
The Goldmine,97 Ocker Hill Road,Birmingham,DY4 0UW,GB,52.5430542,-2.0422849,,,,
Rosehill Tavern,80 Church Hill,Wednesbury,WS10 9DJ,GB,52.5566763,-2.0175814,,,,
Butts Tavern,44 Butts Street,Walsall,WS4 2BJ,GB,52.5919345,-1.975107,,,,
The Sow & Pig,Hill Top,West Bromwich,,GB,52.5344938,-2.0106231,,,,
Vaults,,Birmingham,,GB,52.3889051,-1.7353908,,,,
Coach & Horses,33 Kesteven Road,West Bromwich,B71 1JQ,GB,52.5377816,-1.9979935,,,,
The Nelson,,Birmingham,,GB,52.553463,-2.0304744,,,,
The Roost,34 Bilston Road,Birmingham,WS10 7JL,GB,52.5559682,-2.0268462,,,,
Rock Steady Eddies Bar,Stafford Street,Walsall,WS2 8EA,GB,52.5912175,-1.9853648,,,,
The Crown Inn,Long Acre Street,Walsall,WS2 8HP,GB,52.5911574,-1.9862356,,,,
The New Inn Better Known as The Pretty Bricks,5 John Street,Walsall,WS2 8AF,GB,52.5913103,-1.9850224,,,,
The Walsall Arms,,Birmingham,WS1 2EP,GB,52.5826383,-1.9729165,,,,
Tin Feng The Golden Arches,,Birmingham,,GB,52.4311685,-1.7668273,,,,
Crown & Anchor,,Birmingham,,GB,52.5750534,-1.9798829,,,,
The Fullbrook Lounge & Sports Bar,246 West Bromwich Road,Walsall,WS1 3HL,GB,52.5682057,-1.9803916,,,,
Royal Oak,,Birmingham,,GB,52.5700136,-1.9886444,,,,
Sir Charles Napier,,Birmingham,WS1 4LW,GB,52.5714735,-1.9897398,,,,
Watering Trough,,Birmingham,WS1 2EU,GB,52.58371,-1.9759192,,,,
Bacchus,Burlington Arcade,Birmingham,B2 4JH,GB,52.4787911,-1.8988653,https://www.nicholsonspubs.co.uk/restaurants/eastandwestmidlands/bacchusbarbirmingham,,,
The Sun on the Hill,24 Bennett's Hill,Birmingham,B2 5QP,GB,52.4797736,-1.900165,,,,
The Briar Rose,25 Bennett's Hill,Birmingham,B2 5RE,GB,52.4799005,-1.9001993,https://www.jdwetherspoon.com/pubs/all-pubs/england/west-midlands/the-briar-rose-birmingham,JD Wetherspoon,,
Station Bar,,Birmingham,,GB,52.4767759,-1.8980835,,,,
The Railway,Lower Severn Street,Birmingham,B1 1PU,GB,52.4773377,-1.9010419,https://www.therailwaybirmingham.co.uk/,Mitchells & Butlers,+44 1216 437 167,
The Queen's Head,28 Steelhouse Lane,Birmingham,B4 6BJ,GB,52.4833871,-1.8949925,,,,
The Heartlands Club,,Birmingham,,GB,52.4999272,-1.8621936,,,,
Joe's Bar,Edgbaston Park Road,Birmingham,B15 2TT,GB,52.4491543,-1.9273838,,,,Mo-Sa 12:00-23:00
Coombs Wood Sports and Social Club,Stewarts Road,Birmingham,B62 8ND,GB,52.4654995,-2.0389221,https://www.coombswood.co.uk/,,,
Head of Steam,Temple Street,Birmingham,B2 5DP,GB,52.480015,-1.8990681,,,,
Henman & Cooper,110 Colmore Row,Birmingham,B3 3AG,GB,52.4805733,-1.9013195,,,,
Platform 13,,Birmingham,,GB,52.4767523,-1.8979731,,,,
The Cambridge,6 College Street,Birmingham,B31 2US,GB,52.3950871,-1.985174,,,,"Mo-Fr 11:00-23:00; Sa,Su 10:00-23:00"
Brewer's Fayre,,Birmingham,WS2 8LR,GB,52.5858341,-1.9872645,,,,
Houblon,,Birmingham,,GB,52.4337575,-1.8923317,,,,
Thurston,,Birmingham,,GB,52.5034911,-1.8721211,,,,
Piaza,,Birmingham,,GB,52.4510948,-1.7223393,,Weatherspoons,,
The Pump House,Stratford Road,Solihull,B90 3GG,GB,52.4127149,-1.8277878,,,,
Snooker Academy 147,,Birmingham,,GB,52.4699118,-1.8585938,,,,
3 Cues,,Birmingham,,GB,52.4722348,-1.8644851,,,,
The Railway Inn,96 Bromford Road,West Bromwich,B70 7JB,GB,52.5092274,-2.0117817,,,,
Airport Wetherspoons,,Birmingham,B26 3QJ,GB,52.4538382,-1.7327169,,,,
The Wolf,,Birmingham,,GB,52.4864962,-1.9017338,,,,
Glamorous Birmingham,,Birmingham,,GB,52.474869,-1.8979479,,,,
The Arthur Robertson,Walsall Road,Birmingham,B42 1AA,GB,52.5168248,-1.9027802,,,,
Shell-ter,1A Nimmings Road,Birmingham,B62 9JJ,GB,52.4709937,-2.0331665,,,,
